Grupo,SMD medio antes,SMD medio depois,SMD maximo depois,"Variaveis com SMD > 0,1",n_covariaveis_numericas
Global,0.15578307863391747,0.05035532235601974,0.13681667564179065,13,101
B1,0.18905424425483847,0.15727175538667648,0.42595517282688034,62,101
B2,0.21418358680684568,0.17348385270858493,0.5897264711383241,62,101
M1,0.15728435838479196,0.08030474249311699,0.2794964516488202,28,101
M2,0.1725569273229229,0.14680911850860545,0.5010606181137018,57,101
M3,0.2438182259606409,0.1391172203096954,0.7846155805730918,47,101
