Grupo,n,PS medio tratados,PS medio controles,% PS extremo,% PS extremo estrito,ps_min,ps_max
Global,1484,0.5260189791614561,0.23459608575260263,21.159029649595688,0.0,0.05,0.9327253878219487
B1,151,0.4744229148521114,0.2475155001639165,25.165562913907287,0.0,0.05,0.8688723097534319
B2,117,0.4823973306531198,0.2519834285581575,24.786324786324787,0.0,0.05,0.8429159242857123
M1,328,0.5528786764067896,0.28532035909293085,10.670731707317072,0.0,0.05,0.9261713187717221
M2,109,0.5770079848961003,0.3872161454899613,2.7522935779816518,0.0,0.05,0.9144053980963258
M3,219,0.5126029724984479,0.12280155793033028,47.03196347031963,0.0,0.05,0.8944721714842548
