group,feature,smd_before,smd_after_overlap,abs_smd_before,abs_smd_after_overlap
Global,age,0.08615561642185221,0.03791100753417662,0.08615561642185221,0.03791100753417662
Global,bmi,0.0025369472101693558,-0.03465690143663319,0.0025369472101693558,0.03465690143663319
Global,hemoglobin_mean,0.12397706435193498,0.04245675306871342,0.12397706435193498,0.04245675306871342
Global,hemoglobin_median,0.05175369131484623,0.0324982666933306,0.05175369131484623,0.0324982666933306
Global,hemoglobin_min,-0.11679168945880211,0.014919768835511308,0.11679168945880211,0.014919768835511308
Global,hemoglobin_max,0.5201678317887327,0.06539874008509579,0.5201678317887327,0.06539874008509579
Global,hemoglobin_std,0.41736777738759756,0.03464082000415239,0.41736777738759756,0.03464082000415239
Global,hemoglobin_first,0.492316475492774,0.06170339116860903,0.492316475492774,0.06170339116860903
Global,hemoglobin_last,-0.07844233999960139,0.02320776929268754,0.07844233999960139,0.02320776929268754
Global,hemoglobin_delta,-0.5463943223679683,-0.052157423742110964,0.5463943223679683,0.052157423742110964
Global,hemoglobin_slope,0.23677320864582757,0.1309420490926468,0.23677320864582757,0.1309420490926468
Global,lactate_mean,0.024565360736958412,-0.09515130785472063,0.024565360736958412,0.09515130785472063
Global,lactate_median,-0.02028915327754208,-0.1203069075769151,0.02028915327754208,0.1203069075769151
Global,lactate_min,-0.15065627779723237,-0.06616760102871298,0.15065627779723237,0.06616760102871298
Global,lactate_max,0.19745649667270238,0.0019848879428615625,0.19745649667270238,0.0019848879428615625
Global,lactate_std,0.16942752013965068,-0.06317476215817316,0.16942752013965068,0.06317476215817316
Global,lactate_first,-0.06040126992219644,-0.04403290261336774,0.06040126992219644,0.04403290261336774
Global,lactate_last,0.1448414247765116,0.0245385262646265,0.1448414247765116,0.0245385262646265
Global,lactate_delta,0.18737394488373718,0.0543458760568682,0.18737394488373718,0.0543458760568682
Global,lactate_slope,-0.14339945132994614,-0.08932360895258254,0.14339945132994614,0.08932360895258254
Global,creatinine_mean,-0.028704913870222334,0.018973501853640693,0.028704913870222334,0.018973501853640693
Global,creatinine_median,-0.026750687679982826,0.022801303587292446,0.026750687679982826,0.022801303587292446
Global,creatinine_min,-0.199700504903999,-0.004433844961783214,0.199700504903999,0.004433844961783214
Global,creatinine_max,0.02413317944465938,0.03357880699052592,0.02413317944465938,0.03357880699052592
Global,creatinine_std,0.16552229184890752,0.05680499257448846,0.16552229184890752,0.05680499257448846
Global,creatinine_first,-0.16063326395897357,0.011043787478536219,0.16063326395897357,0.011043787478536219
Global,creatinine_last,0.006243292774389204,0.04205047221438897,0.006243292774389204,0.04205047221438897
Global,creatinine_delta,0.18224726561916352,0.046806279280155086,0.18224726561916352,0.046806279280155086
Global,creatinine_slope,-0.053370442321189114,-0.028872821172720654,0.053370442321189114,0.028872821172720654
Global,platelets_mean,-0.05205810884198553,-0.01900793772431723,0.05205810884198553,0.01900793772431723
Global,platelets_median,-0.05563243611628167,-0.012807854998264825,0.05563243611628167,0.012807854998264825
Global,platelets_min,-0.20656107327323284,-0.044322899774129704,0.20656107327323284,0.044322899774129704
Global,platelets_max,0.1076872762299177,-0.044160284459896615,0.1076872762299177,0.044160284459896615
Global,platelets_std,0.37056776503807554,0.005618853359531046,0.37056776503807554,0.005618853359531046
Global,platelets_first,0.023138422904891938,-0.039833059975499255,0.023138422904891938,0.039833059975499255
Global,platelets_last,-0.10654027232313777,-0.04534637689519884,0.10654027232313777,0.04534637689519884
Global,platelets_delta,-0.1769468009727093,-0.021345763887017293,0.1769468009727093,0.021345763887017293
Global,platelets_slope,0.009742925991932974,0.012307334076116672,0.009742925991932974,0.012307334076116672
Global,heart_rate_mean,-0.08797799302915837,-0.07246718337532035,0.08797799302915837,0.07246718337532035
Global,heart_rate_median,-0.1068284302875198,-0.08202552367634675,0.1068284302875198,0.08202552367634675
Global,heart_rate_min,-0.3346531324392999,-0.08586674516812925,0.3346531324392999,0.08586674516812925
Global,heart_rate_max,0.21358893459635467,0.04898948756699509,0.21358893459635467,0.04898948756699509
Global,heart_rate_std,0.3319854635784755,0.039272308541958165,0.3319854635784755,0.039272308541958165
Global,heart_rate_first,-0.22138346274064438,-0.03248480595071222,0.22138346274064438,0.03248480595071222
Global,heart_rate_last,0.0037377271930854068,-0.009549422513635063,0.0037377271930854068,0.009549422513635063
Global,heart_rate_delta,0.21095617092479418,0.021614513875628964,0.21095617092479418,0.021614513875628964
Global,heart_rate_slope,0.0070212483821542986,-0.04235446920086098,0.0070212483821542986,0.04235446920086098
Global,mbp_mean,-0.04232188122396492,0.028973624184431106,0.04232188122396492,0.028973624184431106
Global,mbp_median,-0.04851227020774314,0.02063566598736834,0.04851227020774314,0.02063566598736834
Global,mbp_min,-0.3548415880575492,-0.10779257054284837,0.3548415880575492,0.10779257054284837
Global,mbp_max,0.2034458479141146,0.05466845041811553,0.2034458479141146,0.05466845041811553
Global,mbp_std,0.23575418559274575,0.06879040279351034,0.23575418559274575,0.06879040279351034
Global,mbp_first,0.22906826026300656,0.04640248428124741,0.22906826026300656,0.04640248428124741
Global,mbp_last,-0.13350800043508074,-0.04938432895736254,0.13350800043508074,0.04938432895736254
Global,mbp_delta,-0.2931534528636448,-0.07781493536919495,0.2931534528636448,0.07781493536919495
Global,mbp_slope,0.21794451691025304,0.0337320676697211,0.21794451691025304,0.0337320676697211
Global,resp_rate_mean,-0.17973770291516236,-0.046849723564742554,0.17973770291516236,0.046849723564742554
Global,resp_rate_median,-0.19218880053908188,-0.057524800841698,0.19218880053908188,0.057524800841698
Global,resp_rate_min,-0.44651793882819535,-0.1326436097015658,0.44651793882819535,0.1326436097015658
Global,resp_rate_max,0.17051475246740697,0.10815585639808724,0.17051475246740697,0.10815585639808724
Global,resp_rate_std,0.23654699219351272,0.10710416095842258,0.23654699219351272,0.10710416095842258
Global,resp_rate_first,-0.27891668539944203,-0.056355759079766705,0.27891668539944203,0.056355759079766705
Global,resp_rate_last,-0.13794245613062855,-0.054703357014970706,0.13794245613062855,0.054703357014970706
Global,resp_rate_delta,0.09623762108681545,-0.005561912071060139,0.09623762108681545,0.005561912071060139
Global,resp_rate_slope,-0.04352892428713861,-0.03190080160219219,0.04352892428713861,0.03190080160219219
Global,spo2_mean,0.09870165792908804,0.06676636380110658,0.09870165792908804,0.06676636380110658
Global,spo2_median,0.13464190418815056,0.07397838106037005,0.13464190418815056,0.07397838106037005
Global,spo2_min,-0.1406259287533774,0.008546614293680732,0.1406259287533774,0.008546614293680732
Global,spo2_max,0.39370369637555924,0.13681667564179065,0.39370369637555924,0.13681667564179065
Global,spo2_std,0.10834696112689855,-0.010579596611812896,0.10834696112689855,0.010579596611812896
Global,spo2_first,0.16414908413152654,0.10053480425742851,0.16414908413152654,0.10053480425742851
Global,spo2_last,0.05603820041080196,0.07928968295230938,0.05603820041080196,0.07928968295230938
