Grupo,rule_text,n,treated,controls,aipw_ate
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,107,32,75,-0.32093861532657575
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,213,64,149,-0.10784527856784631
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,119,37,82,-0.36416466519438306
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,247,76,171,-0.10841495069356864
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,90,25,65,-0.3001616967499886
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,178,53,125,-0.16960688627398784
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,123,36,87,-0.31105727836393143
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,243,74,169,-0.19248274862789777
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,135,41,94,-0.3500385819033447
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,280,86,194,-0.18272070129963175
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,112,27,85,-0.20545027744911495
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,218,56,162,-0.07431710939401055
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,149,38,111,-0.22860329410630525
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,294,78,216,-0.09841202241957693
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,165,46,119,-0.228906772819161
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,337,93,244,-0.08280783936615148
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,69,19,50,-0.2886109553861691
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,152,45,107,-0.056376912050966
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,98,28,70,-0.3248400305214022
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,210,61,149,-0.11322754583762702
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,111,34,77,-0.3581725315977823
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,247,73,174,-0.10826582057439585
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,81,22,59,-0.34625655091129215
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,178,54,124,-0.1931586520911387
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,114,33,81,-0.3439760844588743
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,244,73,171,-0.20279225262004416
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,129,40,89,-0.35118337480518097
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,285,86,199,-0.17780034260500327
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,103,24,79,-0.24577460067607645
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,219,57,162,-0.0997324499664467
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,141,35,106,-0.2566090476668228
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,296,77,219,-0.11932536507652185
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,160,44,116,-0.22591640464531815
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,342,92,250,-0.08983786953620235
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,80,25,55,-0.28561758777328655
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,166,51,115,-0.044958292398136264
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,109,34,75,-0.31898691826894193
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,224,67,157,-0.10121236844752442
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,124,41,83,-0.3448317763656179
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,264,81,183,-0.0975553378702247
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,92,28,64,-0.33676121439165124
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,192,60,132,-0.17331263530503374
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,126,39,87,-0.3375206608895417
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,259,79,180,-0.1882400543984089
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,143,47,96,-0.34044561647135996
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,303,94,209,-0.16523144456053734
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,114,30,84,-0.24780732429695726
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,234,63,171,-0.09095791306387387
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,153,41,112,-0.2581451331032196
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,313,83,230,-0.10952750826653815
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,174,51,123,-0.22717064683210933
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,362,100,262,-0.08233568788861026
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,87,27,60,-0.23851709328045606
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,177,54,123,-0.020912563813880174
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,118,38,80,-0.24766095428703172
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,239,74,165,-0.06711956488657503
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,133,45,88,-0.27980119386384733
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,281,89,192,-0.06658465806709861
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,99,30,69,-0.29175365472291587
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,203,63,140,-0.14539149377109678
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,135,43,92,-0.2739409021232394
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,274,86,188,-0.15373788162348126
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,152,51,101,-0.28380356361815484
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,321,102,219,-0.13564014373848896
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,122,32,90,-0.20680407446532098
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,247,66,181,-0.06804134514261298
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,163,45,118,-0.20263255153820217
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,331,90,241,-0.07909318841857095
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,185,56,129,-0.178196858097472
B2,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,385,109,276,-0.05519324768399176
M1,heart_rate_delta > 2.93986 AND mbp_max > 88.35,587,249,338,0.1493080646366723
M1,heart_rate_delta > 2.93986 AND mbp_max > 93,346,152,194,0.21141845841570833
M1,heart_rate_delta > 2.93986 AND mbp_max > 97.65,272,119,153,0.22544041385899383
M1,heart_rate_delta > 3.905 AND mbp_max > 88.35,563,237,326,0.16643128217072822
M1,heart_rate_delta > 3.905 AND mbp_max > 93,328,141,187,0.24018396376289144
M1,heart_rate_delta > 3.905 AND mbp_max > 97.65,257,109,148,0.2719254569578237
M1,heart_rate_delta > 4.87014 AND mbp_max > 88.35,534,223,311,0.1352049561042726
M1,heart_rate_delta > 4.87014 AND mbp_max > 93,315,134,181,0.23795697296903404
M1,heart_rate_delta > 4.87014 AND mbp_max > 97.65,247,104,143,0.26725929907661483
M2,heart_rate_delta > 2.93986 AND mbp_max > 88.35 AND creatinine_std > 0.12622,223,105,118,0.27092606250815326
M2,heart_rate_delta > 2.93986 AND mbp_max > 88.35 AND creatinine_std > 0.146,196,88,108,0.33137126695749514
M2,heart_rate_delta > 2.93986 AND mbp_max > 88.35 AND creatinine_std > 0.16578,167,75,92,0.3316963410849551
M2,heart_rate_delta > 2.93986 AND mbp_max > 93 AND creatinine_std > 0.12622,133,69,64,0.30206943159669963
M2,heart_rate_delta > 2.93986 AND mbp_max > 93 AND creatinine_std > 0.146,116,57,59,0.3405810080573237
M2,heart_rate_delta > 2.93986 AND mbp_max > 93 AND creatinine_std > 0.16578,99,52,47,0.4084157501296405
M2,heart_rate_delta > 2.93986 AND mbp_max > 97.65 AND creatinine_std > 0.12622,102,53,49,0.3862952423540922
M2,heart_rate_delta > 2.93986 AND mbp_max > 97.65 AND creatinine_std > 0.146,90,44,46,0.4407103182076972
M2,heart_rate_delta > 2.93986 AND mbp_max > 97.65 AND creatinine_std > 0.16578,76,39,37,0.4377810400859478
M2,heart_rate_delta > 3.905 AND mbp_max > 88.35 AND creatinine_std > 0.12622,213,99,114,0.3359178375164336
M2,heart_rate_delta > 3.905 AND mbp_max > 88.35 AND creatinine_std > 0.146,187,83,104,0.4060045615976271
M2,heart_rate_delta > 3.905 AND mbp_max > 88.35 AND creatinine_std > 0.16578,159,71,88,0.4139207451402501
M2,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.12622,125,63,62,0.3984101797422687
M2,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.146,109,52,57,0.4492984609493316
M2,heart_rate_delta > 3.905 AND mbp_max > 93 AND creatinine_std > 0.16578,93,48,45,0.5305948321794305
M2,heart_rate_delta > 3.905 AND mbp_max > 97.65 AND creatinine_std > 0.12622,94,47,47,0.521576093463191
M2,heart_rate_delta > 3.905 AND mbp_max > 97.65 AND creatinine_std > 0.146,83,39,44,0.5919284812954257
M2,heart_rate_delta > 3.905 AND mbp_max > 97.65 AND creatinine_std > 0.16578,70,35,35,0.6026217025197808
M2,heart_rate_delta > 4.87014 AND mbp_max > 88.35 AND creatinine_std > 0.12622,204,96,108,0.31800743618511346
M2,heart_rate_delta > 4.87014 AND mbp_max > 88.35 AND creatinine_std > 0.146,178,80,98,0.389021744997298
M2,heart_rate_delta > 4.87014 AND mbp_max > 88.35 AND creatinine_std > 0.16578,152,68,84,0.39196072400926546
M2,heart_rate_delta > 4.87014 AND mbp_max > 93 AND creatinine_std > 0.12622,121,61,60,0.40451176947816125
M2,heart_rate_delta > 4.87014 AND mbp_max > 93 AND creatinine_std > 0.146,105,50,55,0.4582684179290578
M2,heart_rate_delta > 4.87014 AND mbp_max > 93 AND creatinine_std > 0.16578,91,46,45,0.5377097254187555
M2,heart_rate_delta > 4.87014 AND mbp_max > 97.65 AND creatinine_std > 0.12622,92,46,46,0.5328606774773088
M2,heart_rate_delta > 4.87014 AND mbp_max > 97.65 AND creatinine_std > 0.146,81,38,43,0.6064826356776889
M2,heart_rate_delta > 4.87014 AND mbp_max > 97.65 AND creatinine_std > 0.16578,69,34,35,0.6099905049231247
M3,hemoglobin_slope > -0.00934376,342,68,274,0.1449450351960147
M3,hemoglobin_slope > -0.002,219,37,182,0.3053855651991113
M3,hemoglobin_slope > 0.00534376,53,20,33,0.4891396967766513
