Grupo,rule_text,n,treated,controls,aipw_ate
B1,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,157,47,110,-0.2825721712049527
B1,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,345,108,237,-0.1570032169423746
B1,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,190,52,138,-0.19078239966796245
B1,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,412,115,297,-0.07967328726186575
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,130,40,90,-0.2705137649016906
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,309,95,214,-0.07977931300483984
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,153,46,107,-0.26541920150609066
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,354,108,246,-0.13793328663975252
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,188,50,138,-0.17274912275197526
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,423,114,309,-0.06770220488603573
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,145,48,97,-0.2712731321750141
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,330,105,225,-0.08199643448859191
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,169,54,115,-0.2671954503085353
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,376,118,258,-0.13727254701267427
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,204,58,146,-0.18148886445628404
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,447,124,323,-0.0696041710245304
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 97.5,154,52,102,-0.21940923818137734
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND spo2_last <= 102.375,349,114,235,-0.053258568699588955
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 97.5,178,58,120,-0.2225306158241435
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND spo2_last <= 102.375,396,127,269,-0.110259023966625
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 97.5,215,63,152,-0.1416858351084988
B1,heart_rate_max <= 109.025 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND spo2_last <= 102.375,473,134,339,-0.04515305394488881
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,51,15,36,-0.27317144625232
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,116,36,80,-0.0052053888529901985
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,72,23,49,-0.3387352621799303
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,160,50,110,-0.08927012568910843
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,79,26,53,-0.4071162340345706
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,183,56,127,-0.08926849322109455
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,61,16,45,-0.26280922309774685
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,136,41,95,-0.15701901019174702
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,85,25,60,-0.2936803414005153
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,185,56,129,-0.1745976582545326
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,92,28,64,-0.35582687642195543
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,209,62,147,-0.16135478703759212
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,82,18,64,-0.1579116945656729
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,169,44,125,-0.04696037989115973
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,110,27,83,-0.19714720527945867
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,227,60,167,-0.07333442000959974
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,118,30,88,-0.24256053068752884
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,253,66,187,-0.06944383991890353
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,61,20,41,-0.3454491101827711
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,129,41,88,-0.028705518413597832
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,82,28,54,-0.38450720535653293
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,173,55,118,-0.10047634033910177
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,91,32,59,-0.4326326660744762
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,199,63,136,-0.09826375194666995
