n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,support,ps_low,ps_high,group,estimable
151,46,105,0.21739130434782608,0.47619047619047616,-0.2587991718426501,-0.3092053631194355,-0.22274756429920187,-0.23645194060492447,-0.2757852805614728,none,0.0,1.0,B1,True
117,35,82,0.2,0.4878048780487805,-0.28780487804878047,-0.34689080504804043,-0.32813693875233413,-0.2718045877646843,-0.29212579039839465,none,0.0,1.0,B2,True
328,141,187,0.49645390070921985,0.3315508021390374,0.16490309857018243,0.24018396376289144,0.20306677561184167,0.17077035668162405,0.1992087979794564,none,0.0,1.0,M1,True
109,52,57,0.7115384615384616,0.43859649122807015,0.2729419703103914,0.4492984609493316,0.3550002603970512,0.28596648293963156,0.3450998355626061,none,0.0,1.0,M2,True
219,37,182,0.6486486486486487,0.46703296703296704,0.18161568161568165,0.3053855651991113,0.33892483836787807,0.2747235694258985,0.2885898762304268,none,0.0,1.0,M3,True
151,46,105,0.21739130434782608,0.47619047619047616,-0.2587991718426501,-0.3092053631194355,-0.22274756429920187,-0.23645194060492447,-0.2757852805614728,ps_0.05_0.95,0.05,0.95,B1,True
117,35,82,0.2,0.4878048780487805,-0.28780487804878047,-0.34689080504804043,-0.32813693875233413,-0.2718045877646843,-0.29212579039839465,ps_0.05_0.95,0.05,0.95,B2,True
328,141,187,0.49645390070921985,0.3315508021390374,0.16490309857018243,0.24018396376289144,0.20306677561184167,0.17077035668162405,0.1992087979794564,ps_0.05_0.95,0.05,0.95,M1,True
109,52,57,0.7115384615384616,0.43859649122807015,0.2729419703103914,0.4492984609493316,0.3550002603970512,0.28596648293963156,0.3450998355626061,ps_0.05_0.95,0.05,0.95,M2,True
219,37,182,0.6486486486486487,0.46703296703296704,0.18161568161568165,0.3053855651991113,0.33892483836787807,0.2747235694258985,0.2885898762304268,ps_0.05_0.95,0.05,0.95,M3,True
101,44,57,0.22727272727272727,0.43859649122807015,-0.21132376395534289,-0.32638679006661175,-0.21925008897942785,-0.2086186071326267,-0.1962820993457903,ps_0.10_0.90,0.1,0.9,B1,True
79,34,45,0.20588235294117646,0.4444444444444444,-0.23856209150326796,-0.45154492266503743,-0.32940244573140215,-0.2520673790832807,-0.2386303850542205,ps_0.10_0.90,0.1,0.9,B2,True
256,136,120,0.49264705882352944,0.325,0.16764705882352943,0.25336192145561104,0.24449882381810614,0.1730511051326042,0.195757641927854,ps_0.10_0.90,0.1,0.9,M1,True
97,50,47,0.7,0.425531914893617,0.27446808510638293,0.42162330917176216,0.4603911506824566,0.26933177954462706,0.3038863654433482,ps_0.10_0.90,0.1,0.9,M2,True
85,34,51,0.6470588235294118,0.47058823529411764,0.17647058823529416,0.43111439987644246,0.3620928737761668,0.2966114016024989,0.30746708980070725,ps_0.10_0.90,0.1,0.9,M3,True
