auc,average_precision,brier_score,accuracy,precision,recall,f1,split,n
0.8692279987747926,0.7802336579755964,0.13472563035135032,0.808375034232081,0.7568653717347622,0.6053880300015307,0.6727048518093294,all,40167
0.8491704928068564,0.731502553866681,0.14530541191721894,0.7887870942043418,0.721749226006192,0.5708601163146617,0.6374978636130576,test,10042
