k,n_samples,inertia,silhouette,status
2,10639,1662450.3416127735,0.4361192403848669,ok
3,10639,1522487.693742974,0.25887598366208386,ok
4,10639,1430237.8808754848,0.26321760922759885,ok
5,10639,1354033.6844997273,0.15046186233181164,ok
6,10639,1297399.4924790703,0.14745100560538135,ok
