metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,59,0.4067796610169492,0.288135593220339,0.11864406779661019,0.0,0.0,0.0,0,5,59,59
vm_time_hours,ventilation,59,49.45099999999999,64.3287037037037,-14.877703703703702,27.68333333333333,35.03333333333333,-7.350000000000001,0,5,59,59
rrt_on,dialysis_rrt,59,0.06779661016949153,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,0,5,59,59
any_vasopressor,vasopressor,59,0.3050847457627119,0.423728813559322,-0.11864406779661013,0.0,0.0,0.0,0,5,59,59
icu_los_hours,icu_los,59,373.7711864406779,464.6680790960451,-90.8968926553672,223.75,305.41666666666663,-81.66666666666663,0,5,59,59
ventilation_hours,ventilation,59,26.492937853107335,32.09887005649717,-5.605932203389834,14.583333333333332,18.75,-4.166666666666668,0,5,59,59
nee_mcgkgmin_max,vasopressor,59,0.08305084745762713,0.06559322033898306,0.01745762711864407,0.0,0.0,0.0,0,5,59,59
sofa_delta,sofa_delta,59,1.9108689015695555,0.9685108192587057,0.9423580823108497,1.6047058823529412,0.9517489456710493,0.6529569366818919,0,5,59,59
mortality_anytime,mortality,1085,0.2857142857142857,0.3778801843317972,-0.09216589861751151,0.0,0.0,0.0,1,5,1085,1085
vm_time_hours,ventilation,1085,80.75216972034715,54.564791224345356,26.1873784960018,45.7,34.0,11.700000000000003,1,5,1085,1085
rrt_on,dialysis_rrt,1085,0.05898617511520737,0.047926267281105994,0.011059907834101379,0.0,0.0,0.0,1,5,1085,1085
any_vasopressor,vasopressor,1085,0.6903225806451613,0.4589861751152074,0.23133640552995388,1.0,0.0,1.0,1,5,1085,1085
icu_los_hours,icu_los,1085,523.3794162826421,391.676267281106,131.70314900153608,310.0,262.0833333333333,47.916666666666686,1,5,1085,1085
ventilation_hours,ventilation,1085,47.43763440860214,29.035944700460828,18.401689708141316,20.166666666666664,14.083333333333332,6.083333333333332,1,5,1085,1085
