k,n_samples,inertia,silhouette,status
2,10639,478835.125,0.950354278087616,ok
3,10639,434022.90625,0.3178219199180603,ok
4,10639,391551.625,0.34352415800094604,ok
5,10639,356960.28125,0.3492875099182129,ok
6,10639,333040.21875,0.3673817217350006,ok
