feature,stat,value,cluster,k,n_transfused,n_control
apsiii_max,missing_rate,0.0,0,2,10629,3155
apsiii_mean,mean,50.38536080534387,0,2,10629,3155
apsiii_mean,median,46.0,0,2,10629,3155
apsiii_mean,missing_rate,0.0,0,2,10629,3155
apsiii_median,mean,50.38536080534387,0,2,10629,3155
apsiii_median,median,46.0,0,2,10629,3155
apsiii_median,missing_rate,0.0,0,2,10629,3155
apsiii_min,mean,50.38536080534387,0,2,10629,3155
apsiii_min,median,46.0,0,2,10629,3155
apsiii_min,missing_rate,0.0,0,2,10629,3155
apsiii_std,mean,0.0,0,2,10629,3155
apsiii_std,median,0.0,0,2,10629,3155
apsiii_std,missing_rate,0.0,0,2,10629,3155
ast_max,mean,147.83733182801768,0,2,10629,3155
ast_max,median,20.0,0,2,10629,3155
ast_max,missing_rate,0.0,0,2,10629,3155
ast_mean,mean,98.03320889257377,0,2,10629,3155
ast_mean,median,20.0,0,2,10629,3155
ast_mean,missing_rate,0.0,0,2,10629,3155
ast_median,mean,95.81211779094929,0,2,10629,3155
ast_median,median,20.0,0,2,10629,3155
ast_median,missing_rate,0.0,0,2,10629,3155
ast_min,mean,30.85539561576818,0,2,10629,3155
ast_min,median,20.0,0,2,10629,3155
ast_min,missing_rate,0.0,0,2,10629,3155
ast_std,mean,37.9845897000922,0,2,10629,3155
ast_std,median,0.0,0,2,10629,3155
ast_std,missing_rate,0.0,0,2,10629,3155
bilirubin_direct_delta,mean,,0,2,10629,3155
bilirubin_direct_delta,median,,0,2,10629,3155
bilirubin_direct_delta,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_max,mean,,0,2,10629,3155
bilirubin_direct_max,median,,0,2,10629,3155
bilirubin_direct_max,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_mean,mean,,0,2,10629,3155
bilirubin_direct_mean,median,,0,2,10629,3155
bilirubin_direct_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_median,mean,,0,2,10629,3155
bilirubin_direct_median,median,,0,2,10629,3155
bilirubin_direct_median,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_min,mean,,0,2,10629,3155
bilirubin_direct_min,median,,0,2,10629,3155
bilirubin_direct_min,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_post_mean,mean,,0,2,10629,3155
bilirubin_direct_post_mean,median,,0,2,10629,3155
bilirubin_direct_post_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_pre_mean,mean,,0,2,10629,3155
bilirubin_direct_pre_mean,median,,0,2,10629,3155
bilirubin_direct_pre_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_slope,mean,,0,2,10629,3155
bilirubin_direct_slope,median,,0,2,10629,3155
bilirubin_direct_slope,missing_rate,1.0,0,2,10629,3155
bilirubin_direct_std,mean,,0,2,10629,3155
bilirubin_direct_std,median,,0,2,10629,3155
bilirubin_direct_std,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_delta,mean,,0,2,10629,3155
bilirubin_indirect_delta,median,,0,2,10629,3155
bilirubin_indirect_delta,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_max,mean,,0,2,10629,3155
bilirubin_indirect_max,median,,0,2,10629,3155
bilirubin_indirect_max,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_mean,mean,,0,2,10629,3155
bilirubin_indirect_mean,median,,0,2,10629,3155
bilirubin_indirect_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_median,mean,,0,2,10629,3155
bilirubin_indirect_median,median,,0,2,10629,3155
bilirubin_indirect_median,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_min,mean,,0,2,10629,3155
bilirubin_indirect_min,median,,0,2,10629,3155
bilirubin_indirect_min,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_post_mean,mean,,0,2,10629,3155
bilirubin_indirect_post_mean,median,,0,2,10629,3155
bilirubin_indirect_post_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_pre_mean,mean,,0,2,10629,3155
bilirubin_indirect_pre_mean,median,,0,2,10629,3155
bilirubin_indirect_pre_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_slope,mean,,0,2,10629,3155
bilirubin_indirect_slope,median,,0,2,10629,3155
bilirubin_indirect_slope,missing_rate,1.0,0,2,10629,3155
bilirubin_indirect_std,mean,,0,2,10629,3155
bilirubin_indirect_std,median,,0,2,10629,3155
bilirubin_indirect_std,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_delta,mean,,0,2,10629,3155
bilirubin_neonatal_delta,median,,0,2,10629,3155
bilirubin_neonatal_delta,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_max,mean,,0,2,10629,3155
bilirubin_neonatal_max,median,,0,2,10629,3155
bilirubin_neonatal_max,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_mean,mean,,0,2,10629,3155
bilirubin_neonatal_mean,median,,0,2,10629,3155
bilirubin_neonatal_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_median,mean,,0,2,10629,3155
bilirubin_neonatal_median,median,,0,2,10629,3155
bilirubin_neonatal_median,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_min,mean,,0,2,10629,3155
bilirubin_neonatal_min,median,,0,2,10629,3155
bilirubin_neonatal_min,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_post_mean,mean,,0,2,10629,3155
bilirubin_neonatal_post_mean,median,,0,2,10629,3155
bilirubin_neonatal_post_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_pre_mean,mean,,0,2,10629,3155
bilirubin_neonatal_pre_mean,median,,0,2,10629,3155
bilirubin_neonatal_pre_mean,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_slope,mean,,0,2,10629,3155
bilirubin_neonatal_slope,median,,0,2,10629,3155
bilirubin_neonatal_slope,missing_rate,1.0,0,2,10629,3155
bilirubin_neonatal_std,mean,,0,2,10629,3155
bilirubin_neonatal_std,median,,0,2,10629,3155
bilirubin_neonatal_std,missing_rate,1.0,0,2,10629,3155
bilirubin_total_delta,mean,0.48666604393134966,0,2,10629,3155
bilirubin_total_delta,median,-3.552713678800501e-15,0,2,10629,3155
bilirubin_total_delta,missing_rate,0.0,0,2,10629,3155
bilirubin_total_max,mean,1.5015053156458744,0,2,10629,3155
bilirubin_total_max,median,0.7,0,2,10629,3155
bilirubin_total_max,missing_rate,0.0,0,2,10629,3155
bilirubin_total_mean,mean,1.2672223826183782,0,2,10629,3155
bilirubin_total_mean,median,0.7,0,2,10629,3155
bilirubin_total_mean,missing_rate,0.0,0,2,10629,3155
bilirubin_total_median,mean,1.2956204722927838,0,2,10629,3155
bilirubin_total_median,median,0.7,0,2,10629,3155
bilirubin_total_median,missing_rate,0.0,0,2,10629,3155
bilirubin_total_min,mean,0.8085426662903376,0,2,10629,3155
bilirubin_total_min,median,0.7,0,2,10629,3155
bilirubin_total_min,missing_rate,0.0,0,2,10629,3155
bilirubin_total_post_mean,mean,1.7538884265497279,0,2,10629,3155
bilirubin_total_post_mean,median,0.6999999999999945,0,2,10629,3155
bilirubin_total_post_mean,missing_rate,0.0,0,2,10629,3155
bilirubin_total_pre_mean,mean,1.2672223826183782,0,2,10629,3155
bilirubin_total_pre_mean,median,0.7,0,2,10629,3155
bilirubin_total_pre_mean,missing_rate,0.0,0,2,10629,3155
bilirubin_total_slope,mean,0.0025621117098750274,0,2,10629,3155
bilirubin_total_slope,median,0.0,0,2,10629,3155
bilirubin_total_slope,missing_rate,0.012889265217800358,0,2,10629,3155
bilirubin_total_std,mean,0.2292564305663855,0,2,10629,3155
bilirubin_total_std,median,0.0,0,2,10629,3155
bilirubin_total_std,missing_rate,0.0,0,2,10629,3155
bmi_max,mean,28.241667116630673,0,2,10629,3155
bmi_max,median,27.18,0,2,10629,3155
bmi_max,missing_rate,0.30303885596010915,0,2,10629,3155
bmi_mean,mean,28.241667116630666,0,2,10629,3155
bmi_mean,median,27.18000000000017,0,2,10629,3155
bmi_mean,missing_rate,0.30303885596010915,0,2,10629,3155
bmi_median,mean,28.241667116630673,0,2,10629,3155
bmi_median,median,27.18,0,2,10629,3155
bmi_median,missing_rate,0.30303885596010915,0,2,10629,3155
bmi_min,mean,28.241667116630673,0,2,10629,3155
bmi_min,median,27.18,0,2,10629,3155
bmi_min,missing_rate,0.30303885596010915,0,2,10629,3155
bmi_std,mean,0.0,0,2,10629,3155
