k,n_samples,inertia,silhouette,status
2,10639,1713451.5876986836,0.42106569204451255,ok
3,10639,1567956.104504977,0.4385369825385944,ok
4,10639,1441708.0411069845,0.254125414450359,ok
5,10639,1374246.0316396584,0.1518399369625167,ok
6,10639,1318804.2117060006,0.14951833657483568,ok
