metric,category,n_pairs,transfused_mean,control_mean,diff_mean,transfused_median,control_median,diff_median,cluster,k,n_transfused,n_control
mortality_anytime,mortality,5365,0.31705498602050325,0.44529356943150045,-0.1282385834109972,0.0,0.0,0.0,0,3,5365,2099
vm_time_hours,ventilation,5365,91.41872611045208,58.62904201911836,32.789684091333726,49.0,39.0,10.0,0,3,5365,2099
rrt_on,dialysis_rrt,5365,0.08741845293569432,0.06561043802423112,0.021808014911463197,0.0,0.0,0.0,0,3,5365,2099
any_vasopressor,vasopressor,5365,0.6814538676607642,0.5677539608574091,0.11369990680335507,1.0,1.0,0.0,0,3,5365,2099
icu_los_hours,icu_los,5365,600.7463497980739,416.39973594283936,184.34661385523452,353.3333333333333,291.25,62.083333333333314,0,3,5365,2099
ventilation_hours,ventilation,5365,53.863016464740596,32.634032308170234,21.228984156570363,20.666666666666664,17.75,2.9166666666666643,0,3,5365,2099
nee_mcgkgmin_max,vasopressor,5365,0.2711873252562908,0.19675116495806155,0.07443616029822925,0.1,0.05,0.05,0,3,5365,2099
sofa_delta,sofa_delta,5365,1.4407163204387863,1.1116238474844493,0.32909247295433697,1.1355819224103452,0.7635658914728682,0.3720160309374769,0,3,5365,2099
mortality_anytime,mortality,10,0.6,0.3,0.3,1.0,0.0,1.0,1,3,10,10
vm_time_hours,ventilation,10,71.14444444444445,87.02666666666667,-15.882222222222225,57.35,66.84166666666667,-9.491666666666667,1,3,10,10
rrt_on,dialysis_rrt,10,0.2,0.0,0.2,0.0,0.0,0.0,1,3,10,10
any_vasopressor,vasopressor,10,0.3,0.6,-0.3,0.0,1.0,-1.0,1,3,10,10
icu_los_hours,icu_los,10,539.0416666666666,523.6249999999999,15.416666666666742,480.83333333333326,376.04166666666663,104.79166666666663,1,3,10,10
ventilation_hours,ventilation,10,52.80833333333332,51.85,0.9583333333333215,34.166666666666664,40.166666666666664,-6.0,1,3,10,10
nee_mcgkgmin_max,vasopressor,10,0.11000000000000001,0.14699999999999996,-0.03699999999999995,0.0,0.05,-0.05,1,3,10,10
sofa_delta,sofa_delta,10,0.26390944517072834,1.2023933528359938,-0.9384839076652655,0.48969853347473213,1.3194254434916601,-0.829726910016928,1,3,10,10
mortality_anytime,mortality,4634,0.4622356495468278,0.4464825205006474,0.01575312904618037,0.0,0.0,0.0,2,3,4634,1757
vm_time_hours,ventilation,4634,141.61827876364245,59.64619251167577,81.97208625196669,73.46666666666667,41.11666666666667,32.35,2,3,4634,1757
rrt_on,dialysis_rrt,4634,0.12192490289167027,0.0634441087613293,0.05848079413034096,0.0,0.0,0.0,2,3,4634,1757
any_vasopressor,vasopressor,4634,0.476909797151489,0.5973241260250324,-0.12041432887354336,0.0,1.0,-1.0,2,3,4634,1757
icu_los_hours,icu_los,4634,886.1660192778016,427.0654402244281,459.10057905337356,480.0,311.66666666666663,168.33333333333337,2,3,4634,1757
ventilation_hours,ventilation,4634,76.36658394475614,33.13339807221982,43.233185872536325,30.083333333333332,18.083333333333332,12.0,2,3,4634,1757
nee_mcgkgmin_max,vasopressor,4634,0.25874406560207164,0.2045295640914976,0.054214501510574026,0.0,0.06,-0.06,2,3,4634,1757
sofa_delta,sofa_delta,4634,0.7705164745561609,1.0595958916975983,-0.28907941714143737,0.5270137894657525,0.759545673805412,-0.23253188433965954,2,3,4634,1757
