group_id,feature,smd_unweighted,smd_overlap,smd_iptw
B1,age,0.21749908804115822,0.09671614107652154,0.1576148653388067
B1,bmi,-0.16965979062840422,-0.25078564830116495,-0.22173430720638707
B1,hemoglobin_mean,0.12137179999449177,-0.04759207680901516,-0.11139618983659037
B1,hemoglobin_median,0.10543799101894065,0.007225884468819421,-0.08963703371392623
B1,hemoglobin_min,-0.0404019455586817,-0.03515723484086631,-0.16213077373857906
B1,hemoglobin_max,0.3785569475344285,-0.1461702581523105,-0.10679967627247909
B1,hemoglobin_std,0.3292524125219636,-0.12329080416419286,-0.04004763008063244
B1,hemoglobin_first,0.3703347953899516,-0.1279514274244133,-0.09275437843985475
B1,hemoglobin_last,-0.04646184893704013,-0.043283797938552915,-0.16762531648671253
B1,hemoglobin_delta,-0.43388095102212193,0.11782179196910969,0.01173788916784763
B1,hemoglobin_slope,0.3330986235320877,0.21103934419142206,0.3452613114945292
B1,lactate_mean,0.07258242116110081,-0.06657641060353643,-0.05492156105031944
B1,lactate_median,-0.019836106571554515,-0.17116937454535242,-0.1330701906102458
B1,lactate_min,0.09774138679434684,0.2635287743663343,0.13267970053382688
B1,lactate_max,0.15838684732347624,-0.015179113922665364,0.010621214446481043
B1,lactate_std,0.0712660511214362,-0.23062268093339477,-0.13346704135809126
B1,lactate_first,0.1907048530010399,0.20048689621434646,0.16740091353989314
B1,lactate_last,-0.027862837479603195,-0.25552366989191433,-0.25559588662979715
B1,lactate_delta,-0.20504303384482434,-0.38507555764641904,-0.35317822798216597
B1,lactate_slope,-0.3170109777415717,-0.3248084650435463,-0.3495383682506295
B1,creatinine_mean,-0.047933727187629525,-0.09764786970052113,-0.12227172924563154
B1,creatinine_median,-0.06375502765342222,-0.13735885810789977,-0.15411096234757557
B1,creatinine_min,-0.12218280059391014,0.07209655687710867,-0.02282439765410976
B1,creatinine_max,0.013089566196363516,-0.09631690282568695,-0.11645694756699482
B1,creatinine_std,0.15870242817085325,-0.16445694013761653,-0.12527804849784588
B1,creatinine_first,-0.13258603949022396,0.030565229059921848,-0.05660696198543866
B1,creatinine_last,0.00920360430164782,-0.0727030543987322,-0.09559145858199358
B1,creatinine_delta,0.15321096217405705,-0.13155785792397243,-0.07028447072743514
B1,creatinine_slope,-0.09515771556875743,-0.10522354841241348,-0.14388532916727204
B1,platelets_mean,-0.07178361968559453,-0.0972129793764059,0.15845337519195013
B1,platelets_median,-0.10419668443388243,-0.12040505191154462,0.12309889610437785
B1,platelets_min,-0.1811722713906798,-0.050373238790962956,0.18319050985804025
B1,platelets_max,0.10648319997095249,-0.09998644054239524,0.16175599219031944
B1,platelets_std,0.3640340379661234,-0.08478994203956355,0.016754094057011684
B1,platelets_first,0.09996147430325206,-0.008879171538799215,0.22756397754293956
B1,platelets_last,-0.16005323667981172,-0.16058557700344275,0.10279297482981077
B1,platelets_delta,-0.33195729898587834,-0.21744936047450578,-0.09577432448478633
B1,platelets_slope,0.06943193634925691,-0.019472812360288763,0.13104346682011256
B1,heart_rate_mean,-0.5167385386397938,-0.26133994566801155,-0.3724387672680573
B1,heart_rate_median,-0.43731479305570375,-0.18269866634153265,-0.319058497024629
B1,heart_rate_min,-0.6958348175036311,-0.24743913270279477,-0.3620443438572382
B1,heart_rate_max,-0.25333300044979723,-0.29573901325969487,-0.31313557185997204
B1,heart_rate_std,0.2872503901476785,-0.12758125691228675,-0.10064673868595111
B1,heart_rate_first,-0.48296340212173217,-0.19137104892988163,-0.3592035262074706
B1,heart_rate_last,-0.6062561750906837,-0.26786266661530245,-0.4159623761620334
