group_id,feature,mean,median,q25,q75,missing_fraction
B1,age,67.2251655629139,68.0,57.0,79.0,0.0
B1,hemoglobin_slope,-0.08999772721966035,-0.04837798324640444,-0.10044290583813621,-0.018107625438262484,0.0
B1,hemoglobin_last,8.840562913907284,8.399999999999997,8.149999999999999,8.950000000000001,0.0
B1,heart_rate_delta,-5.160995240962128,-2.5,-8.916666666666668,1.0,0.0
B1,heart_rate_max,87.22944009632751,89.0,78.58333333333334,96.0,0.0
B1,mbp_mean,74.14163104056004,73.68627450980392,66.8159310496267,78.63244047619048,0.0
B1,mbp_max,92.10990367248645,93.0,84.0,98.25,0.0
B1,spo2_last,94.962472406181,95.58333333333333,94.0,96.70833333333334,0.0
B1,spo2_min,92.06843267108167,93.0,91.5,94.0,0.0
B1,sofa_mean,5.209203942347793,4.461111111111111,2.761111111111111,6.864309210526316,0.0
B1,creatinine_std,0.22344189252446495,0.09316949906249122,0.046420597242092076,0.2615015395581355,0.0
B1,lactate_std,0.22412721715717623,0.033975299669823864,1.6466739974354272e-16,0.25654968576480486,0.0
B2,age,68.93162393162393,70.0,58.0,81.0,0.0
B2,hemoglobin_slope,-0.08099973272464464,-0.051608695652174186,-0.09974637681159403,-0.01574229691876757,0.0
B2,hemoglobin_last,8.858475783475782,8.400000000000002,8.149999999999999,9.0,0.0
B2,heart_rate_delta,-5.687457912457913,-2.3333333333333286,-9.666666666666671,1.0,0.0
B2,heart_rate_max,86.94173789173789,88.91666666666667,78.0,96.0,0.0
B2,mbp_mean,69.77281187455901,70.91927083333333,64.8125,75.07666666666667,0.0
B2,mbp_max,88.28927738927737,88.2,80.5,93.0,0.0
B2,spo2_last,94.988603988604,95.75,94.0,96.66666666666667,0.0
B2,spo2_min,92.39529914529915,92.33333333333333,91.41666666666667,94.0,0.0
B2,sofa_mean,5.348591741824747,4.863095238095238,2.8255813953488373,7.144230769230769,0.0
B2,creatinine_std,0.20769574322950685,0.09316949906249122,0.046518687778536384,0.21620823934234376,0.0
B2,lactate_std,0.2239006035335818,0.03807976611148792,1.1102230246251565e-16,0.2902403379249489,0.0
M1,age,62.71951219512195,66.0,53.0,75.0,0.0
M1,hemoglobin_slope,-0.10238756567644848,-0.06380754871025658,-0.13555902996692457,-0.017645057643619743,0.0
M1,hemoglobin_last,8.800635162601626,8.400000000000002,8.200000000000001,8.904166666666669,0.0
M1,heart_rate_delta,20.423383552423186,16.833333333333336,10.062499999999996,27.87083333333333,0.0
M1,heart_rate_max,109.65142276422766,108.0,95.4375,122.375,0.0
M1,mbp_mean,82.46836229618278,81.8565146094216,76.63185307017544,87.41419314381271,0.0
M1,mbp_max,108.20416127740823,103.1,98.0,112.57291666666667,0.0
M1,spo2_last,96.78861788617886,97.20833333333334,95.25,99.02083333333333,0.0
M1,spo2_min,92.71484663710274,93.83333333333333,91.3125,96.0,0.0
M1,sofa_mean,4.46974223992056,4.225231481481481,1.888392857142857,6.349404761904762,0.0
M1,creatinine_std,0.2080915052873884,0.09389899433771715,0.04516554286243654,0.19766433002141764,0.0
M1,lactate_std,0.30947401764946453,0.11176017991002885,2.2139532935858268e-16,0.3672823298579134,0.0
M2,age,65.5229357798165,70.0,56.0,77.0,0.0
M2,hemoglobin_slope,-0.11520212328328854,-0.08326780758556898,-0.14761253561253582,-0.03242522355843355,0.0
M2,hemoglobin_last,8.867584097859327,8.491666666666665,8.216666666666665,8.900000000000002,0.0
M2,heart_rate_delta,21.543131842673127,18.0,11.0,29.83333333333333,0.0
M2,heart_rate_max,108.86850152905198,106.25,96.0,120.0,0.0
M2,mbp_mean,80.40052739021874,80.17992424242424,74.42156862745097,85.45089285714286,0.0
M2,mbp_max,106.7934250764526,103.75,97.75,112.0,0.0
M2,spo2_last,96.45030581039754,97.08333333333333,95.0,99.0,0.0
M2,spo2_min,92.21177370030581,93.66666666666667,90.0,95.5,0.0
M2,sofa_mean,6.0228723720987265,5.96875,3.8205128205128203,8.098484848484848,0.0
M2,creatinine_std,0.5092806093549307,0.3089720866274829,0.1988964198817085,0.5286858109960774,0.0
M2,lactate_std,0.47104586020756495,0.239166078746842,0.023165317706529468,0.5939757977088702,0.0
M3,age,66.1917808219178,69.0,57.0,78.0,0.0
M3,hemoglobin_slope,0.005952643194985606,7.009662160775983e-17,-1.2300774748363026e-16,0.004919558676496718,0.0
M3,hemoglobin_last,8.975532724505326,8.425,8.200000000000001,8.858333333333334,0.0
M3,heart_rate_delta,2.2610603754439373,0.0,-7.7500000000000036,10.625000000000004,0.0
M3,heart_rate_max,101.73097412480975,100.5,87.91666666666666,114.375,0.0
M3,mbp_mean,76.03735375616283,74.25,67.9920634920635,81.14761904761906,0.0
M3,mbp_max,93.9921740233384,91.08333333333333,80.91666666666666,101.66666666666666,0.0
M3,spo2_last,97.1385083713851,97.33333333333333,95.33333333333333,99.70833333333334,0.0
M3,spo2_min,94.13127853881278,94.25,92.16666666666666,96.5,0.0
M3,sofa_mean,5.241299088925111,4.659313725490196,2.6114130434782608,7.0,0.0045662100456621
M3,creatinine_std,0.13835911912190801,0.0458132689552834,5.551115123125783e-17,0.09952835898280338,0.0
M3,lactate_std,0.1733749913857403,4.440892098500626e-16,0.0,0.19982257861901265,0.0
