group,direction,aipw_ate,att,overlap_weighted_diff,iptw_diff,all_estimators_same_sign,all_estimators_match_expected_direction
B1,benefit,-0.3092053631194355,-0.2227475642992018,-0.2364519406049244,-0.2757852805614728,True,True
B2,benefit,-0.3468908050480404,-0.3281369387523341,-0.2718045877646843,-0.2921257903983946,True,True
M1,harm,0.2401839637628914,0.2030667756118416,0.170770356681624,0.1992087979794564,True,True
M2,harm,0.4492984609493316,0.3550002603970512,0.2859664829396315,0.3450998355626061,True,True
M3,harm,0.3053855651991113,0.338924838367878,0.2747235694258985,0.2885898762304268,True,True
