n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,aipw_ate_ci95_low,aipw_ate_ci95_high,model_ite_mean,run_id,split,legacy_k2_cluster,article_mortality_diff,legacy_article_sign
85,43,42,0.37209302325581395,0.5,-0.12790697674418605,-0.02061029796413201,-0.06764797530562411,-0.16268230194424205,-0.07592929065047233,-0.6394408165830374,0.6292155936301247,-0.030870983079776145,run_cal03_replace_full_w48,all,0,-0.065772759350741,article_benefit
1399,463,936,0.4470842332613391,0.44871794871794873,-0.001633715456609619,0.043319208617771915,0.0755353729064065,0.026154014761634037,0.021096934903066467,-0.021157734846854147,0.10683624906954323,0.0402126956834194,run_cal03_replace_full_w48,all,1,-0.0499316005471955,article_benefit
52,24,28,0.20833333333333334,0.5357142857142857,-0.32738095238095233,-0.10110063672967162,-0.1706096480321829,-0.2667691138250125,-0.1607083791134581,-0.7142061083731606,0.6957162560203807,-0.05679639180016486,run_cal03_replace_full_w48,discovery,0,-0.065772759350741,article_benefit
971,324,647,0.42901234567901236,0.45904173106646057,-0.030029385387448204,0.03437572157574844,0.059478565858733734,0.005917738567803532,-0.0012104504343283806,-0.046447464036538516,0.11306304989896948,0.03526209359007898,run_cal03_replace_full_w48,discovery,1,-0.0499316005471955,article_benefit
33,19,14,0.5789473684210527,0.42857142857142855,0.1503759398496241,0.1062229631209608,0.062408874454239927,-0.10084500663546336,-0.0008246385716845772,-1.233700603999463,1.2080409771044767,0.009981176115987912,run_cal03_replace_full_w48,validation,0,-0.065772759350741,article_benefit
428,139,289,0.4892086330935252,0.42560553633217996,0.06360309676134523,0.06360922244441863,0.11296275048515475,0.07384308645375859,0.07816842166792265,-0.04584385087649943,0.1626168686516703,0.051444085012002434,run_cal03_replace_full_w48,validation,1,-0.0499316005471955,article_benefit
99,50,49,0.38,0.46938775510204084,-0.08938775510204083,0.0012099044355347627,-0.057226082707336534,-0.15245892448186799,-0.061835702762552736,-0.5566973883335229,0.5724920421336721,-0.021203225243343487,run_cal03_noreplace_w48,all,0,0.0123784261715296,article_harm
1385,456,929,0.4473684210526316,0.44994617868675996,-0.0025777576341283748,0.04240571623840703,0.07659061151949831,0.02878662198392501,0.023734398233460907,-0.022624636417702335,0.10681195530548632,0.040240178338204896,run_cal03_noreplace_w48,all,1,-0.0271493212669683,article_benefit
58,28,30,0.25,0.5,-0.25,-0.07022614502224704,-0.14153728834237095,-0.22916842045513647,-0.14083247365942736,-0.6361645475856754,0.6227628256645517,-0.05821261878645602,run_cal03_noreplace_w48,discovery,0,0.0123784261715296,article_harm
965,320,645,0.428125,0.4604651162790698,-0.0323401162790698,0.033362392695750406,0.05981083705951162,0.006342963561010606,0.0007761788271585246,-0.04876741943832469,0.11411273840364822,0.03591959833365033,run_cal03_noreplace_w48,discovery,1,-0.0271493212669683,article_benefit
41,22,19,0.5454545454545454,0.42105263157894735,0.12440191387559807,0.10226577927825055,0.05007908810088901,-0.07842158455307069,0.010971515407070864,-0.9518350009360355,0.9394415273841605,0.031151526598132768,run_cal03_noreplace_w48,validation,0,0.0123784261715296,article_harm
420,136,284,0.49264705882352944,0.426056338028169,0.06659072079536044,0.06318382866379667,0.11607243377829052,0.08190736916844471,0.0826040731872727,-0.049280434511193245,0.160506687808024,0.05016722525343144,run_cal03_noreplace_w48,validation,1,-0.0271493212669683,article_benefit
