n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,aipw_ate_ci95_low,aipw_ate_ci95_high,model_ite_mean,run_id,group_id,legacy_k2_cluster
9,3,6,0.0,0.3333333333333333,-0.3333333333333333,-0.45612842545778165,-0.2993945248029987,-0.3352683586922815,-0.33021172165224605,-0.9727835047339628,-0.04314037098918694,-0.18896806397618834,run_cal03_replace_full_w48,B1,0
142,43,99,0.23255813953488372,0.48484848484848486,-0.25229034531360117,-0.2998933380416529,-0.21740010193847184,-0.22436668667399257,-0.26856840809388527,-0.5331842884329681,-0.08810136642559764,0.0038342601932853174,run_cal03_replace_full_w48,B1,1
8,3,5,0.0,0.2,-0.2,-0.4096342796073607,-0.23006904301530487,-0.07321905999890702,-0.17282080088054297,-0.9941290589618217,0.03623431565334964,-0.19392498391499136,run_cal03_replace_full_w48,B2,0
109,32,77,0.21875,0.5064935064935064,-0.28774350649350644,-0.3422857793923106,-0.33733080397768067,-0.2660501568717882,-0.2874379825694661,-0.5796280312105001,-0.13176964082125062,-0.013498074804367563,run_cal03_replace_full_w48,B2,1
23,15,8,0.3333333333333333,0.375,-0.041666666666666685,0.18723217573270745,-0.010296554936590763,-0.15163578086751772,0.0757081002571145,-0.3075683101692108,0.8564551621377384,0.03392307456101894,run_cal03_replace_full_w48,M1,0
305,126,179,0.5158730158730159,0.329608938547486,0.1862640773255299,0.2441770494176266,0.22846717210570272,0.19429581893934045,0.2079175334523865,0.10133433267404539,0.3883551868580241,0.0735415242425776,run_cal03_replace_full_w48,M1,1
8,5,3,0.6,0.3333333333333333,0.26666666666666666,0.8787923808214423,0.23852398391136687,0.4422265273371737,0.5092386763723137,-0.3101049235885216,2.4534483014214516,0.0829558823697204,run_cal03_replace_full_w48,M2,0
101,47,54,0.723404255319149,0.4444444444444444,0.27895981087470456,0.4152791405634218,0.36739135364020914,0.29079835752817634,0.3303057637906302,0.10025713790659303,0.7498019114806279,0.05788470555215408,run_cal03_replace_full_w48,M2,1
2,1,1,1.0,0.0,1.0,2.0475556378079585,0.6419004573789777,1.0,1.0,0.9961772835589063,3.098933992057011,0.16758748088463463,run_cal03_replace_full_w48,M3,0
217,36,181,0.6388888888888888,0.4696132596685083,0.16927562922038053,0.2893286981704583,0.330508848950903,0.25672547382571237,0.27552480192270706,0.09898349799987967,0.5002803051200724,0.16138321729756877,run_cal03_replace_full_w48,M3,1
10,4,6,0.0,0.3333333333333333,-0.3333333333333333,-0.4342107968264992,-0.250933067684908,-0.3352683586922815,-0.33021172165224605,-0.8835541858561976,-0.05691101722865295,-0.16456658673655694,run_cal03_noreplace_w48,B1,0
141,42,99,0.23809523809523808,0.48484848484848486,-0.24675324675324678,-0.30033972952318977,-0.22006323064342032,-0.21990182474100448,-0.2661009603976533,-0.5370236371413848,-0.09131825310643235,0.0034710513406126897,run_cal03_noreplace_w48,B1,1
8,3,5,0.0,0.2,-0.2,-0.4096342796073607,-0.23006904301530487,-0.07321905999890702,-0.17282080088054297,-0.9941290589618217,0.03623431565334964,-0.19392498391499136,run_cal03_noreplace_w48,B2,0
109,32,77,0.21875,0.5064935064935064,-0.28774350649350644,-0.3422857793923106,-0.33733080397768067,-0.2660501568717882,-0.2874379825694661,-0.5796280312105001,-0.13176964082125062,-0.013498074804367563,run_cal03_noreplace_w48,B2,1
29,17,12,0.35294117647058826,0.25,0.10294117647058826,0.221854375358835,0.008550927938656527,0.00744833216667895,0.20641522850844374,-0.18089669511950163,0.7568715405523174,0.05952670317257495,run_cal03_noreplace_w48,M1,0
299,124,175,0.5161290322580645,0.33714285714285713,0.17898617511520737,0.2419617499291711,0.22973427085735892,0.19350889161474566,0.20461596744517224,0.09240874409946842,0.39124128687690135,0.07185324821700645,run_cal03_noreplace_w48,M1,1
8,5,3,0.6,0.3333333333333333,0.26666666666666666,0.8787923808214423,0.23852398391136687,0.4422265273371737,0.5092386763723137,-0.3101049235885216,2.4534483014214516,0.0829558823697204,run_cal03_noreplace_w48,M2,0
101,47,54,0.723404255319149,0.4444444444444444,0.27895981087470456,0.4152791405634218,0.36739135364020914,0.29079835752817634,0.3303057637906302,0.10025713790659303,0.7498019114806279,0.05788470555215408,run_cal03_noreplace_w48,M2,1
2,1,1,1.0,0.0,1.0,2.0475556378079585,0.6419004573789777,1.0,1.0,0.9961772835589063,3.098933992057011,0.16758748088463463,run_cal03_noreplace_w48,M3,0
217,36,181,0.6388888888888888,0.4696132596685083,0.16927562922038053,0.2893286981704583,0.330508848950903,0.25672547382571237,0.27552480192270706,0.09898349799987967,0.5002803051200724,0.16138321729756877,run_cal03_noreplace_w48,M3,1
