run_id,legacy_k2_cluster,age_max,creatinine_mean,heart_rate_mean,hemoglobin_mean,lactate_mean,mbp_mean,sofa_mean
run_cal03_replace_full_w48,0,69.0,0.9,76.0,11.629268292682935,1.2834577114427863,83.66666666666667,3.0
run_cal03_replace_full_w48,1,68.0,1.0866551126516466,87.94627383015597,8.822183708838967,1.419741697416966,73.7313691507799,4.807017543859649
run_cal03_noreplace_w48,0,69.0,0.9,76.07518796992481,11.617928571428587,1.2818181818181822,83.66666666666667,3.0
run_cal03_noreplace_w48,1,68.0,1.0975736568457652,87.93934142114385,8.817331022530349,1.4249566724436704,73.64940239043824,4.846865999828908
