k,n_samples,inertia,silhouette,status
2,10639,320164.09375,0.9273554682731628,ok
3,10639,288099.25,0.7470855712890625,ok
4,10639,261676.234375,0.752609372138977,ok
5,10639,237458.84375,0.671518862247467,ok
6,10639,216309.015625,0.6622074246406555,ok
