n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,aipw_ate_ci95_low,aipw_ate_ci95_high,model_ite_mean,run_id,legacy_group_id,legacy_direction,current_group_id,current_direction,same_direction
3,1,2,0.0,1.0,-1.0,-0.9928818114607673,-0.8989699608897158,-1.0,-1.0,-1.0231869749184785,-0.9677817368626669,-0.1727681908150117,run_cal03_replace_full_w48,old_M1,harm,B1,benefit,False
3,1,2,0.0,1.0,-1.0,-0.9928818114607673,-0.8989699608897158,-1.0,-1.0,-1.0231869749184785,-0.9677817368626669,-0.1727681908150117,run_cal03_replace_full_w48,old_M1,harm,B2,benefit,False
22,13,9,0.7692307692307693,0.6666666666666666,0.10256410256410264,0.25501047156771917,0.1657764301836192,-0.10029653944480155,0.03251704953961987,-0.07045570102500802,0.588057735699339,0.05063669961783654,run_cal03_replace_full_w48,old_M1,harm,M1,harm,True
11,8,3,0.75,1.0,-0.25,0.15396960467968468,0.14748655259246057,-0.23849683072912065,-0.2290326262028346,-0.22266369433802438,0.5297837861327289,0.010995542734698676,run_cal03_replace_full_w48,old_M1,harm,M2,harm,True
13,7,6,0.5714285714285714,0.3333333333333333,0.23809523809523808,0.15028773271351684,-0.031852659011830986,-0.007269208779798864,0.21733333951749495,-0.31760110413688,0.5777547180602113,0.3159742982442817,run_cal03_replace_full_w48,old_M1,harm,M3,harm,True
23,6,17,0.3333333333333333,0.6470588235294118,-0.3137254901960785,-0.6378712677404657,-0.3952611170244987,-0.08226451763491804,-0.15510387701260464,-1.5040241934916998,-0.04574388345207525,-0.001597350569758764,run_cal03_replace_full_w48,old_M2,harm,B1,benefit,False
18,6,12,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.7657462056590911,-0.32801699969291237,-0.10210072285384386,-0.2297849011512626,-1.7970860235689512,-0.06256170581618493,0.0022376824305713997,run_cal03_replace_full_w48,old_M2,harm,B2,benefit,False
52,20,32,0.95,0.71875,0.23124999999999996,0.49651977746320364,0.2841817022527623,0.2135798971296936,0.2517806669186585,0.0643123174496213,1.1052501637453955,0.09209636053985432,run_cal03_replace_full_w48,old_M2,harm,M1,harm,True
27,15,12,0.9333333333333333,0.8333333333333334,0.09999999999999998,0.8256304718570654,0.3250779101115372,0.17349357613071292,0.1876337404311318,0.056736520013178623,1.9447961610841655,0.018146328865529016,run_cal03_replace_full_w48,old_M2,harm,M2,harm,True
60,10,50,0.8,0.6,0.20000000000000007,0.4494653760026301,0.18101794934308058,0.3358979045050333,0.35513541247956515,0.05782706880591431,0.9591057638022534,0.15818043858381337,run_cal03_replace_full_w48,old_M2,harm,M3,harm,True
32,10,22,0.4,0.6818181818181818,-0.28181818181818175,-0.4445755978634866,-0.22232088799563487,-0.3277198429475945,-0.3903836975417483,-1.0510700388666276,0.005953204495685386,0.013673586013249,run_cal03_replace_full_w48,old_M3,harm,B1,benefit,False
31,10,21,0.4,0.6666666666666666,-0.2666666666666666,-0.44024061853558344,-0.21020527952135515,-0.3128167149825084,-0.37660788730172823,-1.070557462843734,0.02972947042423247,0.01699690454509393,run_cal03_replace_full_w48,old_M3,harm,B2,benefit,False
21,8,13,0.75,0.38461538461538464,0.36538461538461536,0.2903850052038066,0.6996720107164123,0.25620288046429973,0.3813507137858321,-0.17315054971483365,0.7862494490568233,-0.03673399016370632,run_cal03_replace_full_w48,old_M3,harm,M1,harm,True
19,8,11,0.75,0.36363636363636365,0.38636363636363635,0.3288129990618895,0.6877664685071702,0.25016328473692984,0.39411777723744307,-0.18614002983821143,0.8397580638256135,-0.0256047075413764,run_cal03_replace_full_w48,old_M3,harm,M2,harm,True
31,4,27,1.0,0.6296296296296297,0.37037037037037035,0.14262785471473244,0.30667058794027924,0.32054884378112125,0.3641892546351081,-0.06626586413982948,0.344463794998148,0.11297846266829925,run_cal03_replace_full_w48,old_M3,harm,M3,harm,True
9,3,6,0.3333333333333333,0.8333333333333334,-0.5,-0.27813973639443645,-0.09611242278892224,-0.35850261241102666,-0.30996077443781284,-0.6932120173456567,0.2223847570309617,-0.07421581713797104,run_cal03_replace_full_w48,old_M4,harm,B1,benefit,False
8,3,5,0.3333333333333333,0.8,-0.46666666666666673,-0.24053720881518037,-0.055727061207989315,-0.32881151468126846,-0.2709659349191165,-0.7101564748171316,0.3025771657575525,-0.07232413322097442,run_cal03_replace_full_w48,old_M4,harm,B2,benefit,False
18,13,5,0.8461538461538461,1.0,-0.15384615384615385,0.21596692459440092,0.17852709785137622,-0.10977272192663756,-0.1203814518863795,-0.0998644324080703,0.5367002324231157,0.15391214135755213,run_cal03_replace_full_w48,old_M4,harm,M1,harm,True
15,11,4,0.8181818181818182,1.0,-0.18181818181818177,0.21219119395526542,0.2027877061253942,-0.14680923090133247,-0.15803171340934297,-0.10837826285370959,0.5249544467451128,0.08965676587094461,run_cal03_replace_full_w48,old_M4,harm,M2,harm,True
10,7,3,0.8571428571428571,0.6666666666666666,0.19047619047619047,0.3564589331961933,0.07557252914618673,-0.04427600655374064,0.13878684988674483,-0.3359368564135251,1.1381270540327428,0.22948328240718255,run_cal03_replace_full_w48,old_M4,harm,M3,harm,True
