split,n,brier,auc,average_precision
all,1484,0.18015489609608087,0.8038440346752866,0.769053019181787
discovery,1023,0.17017113051471164,0.8286727621522941,0.7986468163337309
validation,461,0.20230975984823,0.7473776223776223,0.7066491250652887
