n,n_treated,n_control,treated_mean,control_mean,unadjusted_diff,aipw_ate,aipw_att,overlap_weighted_diff,iptw_diff,split,outcome,aipw_ate_ci95_low,aipw_ate_ci95_high
1484,506,978,0.4407114624505929,0.450920245398773,-0.010208782948180117,0.039657478119482274,0.06336761801882296,0.01819497205510029,0.01853990209685691,all,mortality_anytime,-0.02733748446638151,0.1166142807539524
1023,348,675,0.41379310344827586,0.4622222222222222,-0.048429118773946345,0.02748933777136736,0.043610413176601526,-0.014049886627603092,-0.01114865018221517,discovery,mortality_anytime,-0.056581658200307076,0.101699809157582
461,158,303,0.5,0.42574257425742573,0.07425742574257427,0.06665966375098238,0.10688348691181682,0.0869690192932911,0.08306714438714818,validation,mortality_anytime,-0.07784246076018338,0.18065286192611307
