feature,smd_unweighted,smd_overlap,smd_iptw
age,0.08615561642185221,0.03791100753417662,0.03983267448283105
bmi,0.0025369472101693558,-0.03465690143663319,-0.014370329039926761
hemoglobin_mean,0.12397706435193498,0.04245675306871342,0.07605369986288897
hemoglobin_median,0.05175369131484623,0.0324982666933306,0.04842817656515959
hemoglobin_min,-0.11679168945880211,0.014919768835511308,-0.006437447724152354
hemoglobin_max,0.5201678317887327,0.06539874008509579,0.14279701985911783
hemoglobin_std,0.41736777738759756,0.03464082000415239,0.11410596684738267
hemoglobin_first,0.492316475492774,0.06170339116860903,0.13427952587769562
hemoglobin_last,-0.07844233999960139,0.02320776929268754,-0.0004976027961435474
hemoglobin_delta,-0.5463943223679683,-0.052157423742110964,-0.13870439352990122
hemoglobin_slope,0.23677320864582757,0.1309420490926468,0.19556514403985406
lactate_mean,0.024565360736958412,-0.09515130785472063,-0.07968777324417485
lactate_median,-0.02028915327754208,-0.1203069075769151,-0.10303314129884904
lactate_min,-0.15065627779723237,-0.06616760102871298,-0.0917088938494357
lactate_max,0.19745649667270238,0.0019848879428615625,0.010549747503938358
lactate_std,0.16942752013965068,-0.06317476215817316,-0.031232114396287744
lactate_first,-0.06040126992219644,-0.04403290261336774,-0.05868582660499478
lactate_last,0.1448414247765116,0.0245385262646265,0.01940086179110602
lactate_delta,0.18737394488373718,0.0543458760568682,0.058930450117425474
lactate_slope,-0.14339945132994614,-0.08932360895258254,-0.12065810315911853
creatinine_mean,-0.028704913870222334,0.018973501853640693,-0.0008874220986234921
creatinine_median,-0.026750687679982826,0.022801303587292446,0.006785736649922906
creatinine_min,-0.199700504903999,-0.004433844961783214,-0.06466003659127233
creatinine_max,0.02413317944465938,0.03357880699052592,0.02234798668127455
creatinine_std,0.16552229184890752,0.05680499257448846,0.088160208662211
creatinine_first,-0.16063326395897357,0.011043787478536219,-0.03852355357432236
creatinine_last,0.006243292774389204,0.04205047221438897,0.024699514512562148
creatinine_delta,0.18224726561916352,0.046806279280155086,0.07611618440360758
creatinine_slope,-0.053370442321189114,-0.028872821172720654,-0.030208850634402012
platelets_mean,-0.05205810884198553,-0.01900793772431723,0.004971517435029157
platelets_median,-0.05563243611628167,-0.012807854998264825,0.009781374262892648
platelets_min,-0.20656107327323284,-0.044322899774129704,-0.031143011324550142
platelets_max,0.1076872762299177,-0.044160284459896615,0.0024404823078366697
platelets_std,0.37056776503807554,0.005618853359531046,0.07784768792647856
platelets_first,0.023138422904891938,-0.039833059975499255,0.012176834812151798
platelets_last,-0.10654027232313777,-0.04534637689519884,-0.028671581071365942
platelets_delta,-0.1769468009727093,-0.021345763887017293,-0.054082283956150876
platelets_slope,0.009742925991932974,0.012307334076116672,0.01470915846451527
heart_rate_mean,-0.08797799302915837,-0.07246718337532035,-0.08430734116452747
heart_rate_median,-0.1068284302875198,-0.08202552367634675,-0.10557708828290951
heart_rate_min,-0.3346531324392999,-0.08586674516812925,-0.16855833239314436
heart_rate_max,0.21358893459635467,0.04898948756699509,0.0955045440394845
heart_rate_std,0.3319854635784755,0.039272308541958165,0.14869622443179098
heart_rate_first,-0.22138346274064438,-0.03248480595071222,-0.08772189803327189
heart_rate_last,0.0037377271930854068,-0.009549422513635063,-0.040463681941593936
heart_rate_delta,0.21095617092479418,0.021614513875628964,0.04479251229266955
heart_rate_slope,0.0070212483821542986,-0.04235446920086098,-0.0837621143595975
mbp_mean,-0.04232188122396492,0.028973624184431106,-0.007141802519150626
mbp_median,-0.04851227020774314,0.02063566598736834,-0.015761008860413813
mbp_min,-0.3548415880575492,-0.10779257054284837,-0.17041267348916483
mbp_max,0.2034458479141146,0.05466845041811553,0.08534266229258812
mbp_std,0.23575418559274575,0.06879040279351034,0.0905817051507827
mbp_first,0.22906826026300656,0.04640248428124741,0.09086866141263279
mbp_last,-0.13350800043508074,-0.04938432895736254,-0.06700806717621488
mbp_delta,-0.2931534528636448,-0.07781493536919495,-0.12787964547706637
mbp_slope,0.21794451691025304,0.0337320676697211,0.12357514795903714
resp_rate_mean,-0.17973770291516236,-0.046849723564742554,-0.04917304008386284
resp_rate_median,-0.19218880053908188,-0.057524800841698,-0.05987716879697468
resp_rate_min,-0.44651793882819535,-0.1326436097015658,-0.18921829147580782
resp_rate_max,0.17051475246740697,0.10815585639808724,0.15170178439506876
resp_rate_std,0.23654699219351272,0.10710416095842258,0.13160798298480203
resp_rate_first,-0.27891668539944203,-0.056355759079766705,-0.12311517125542748
